Product ID,Product Name,Chinese Name,Image Link,Video Link,Price (RM),Category
"B060","5""414 SHOOT CAKE - SUMMER (A,B,C)  (STRAIGHT + V SHAPE) BB5138 B  -  (3","","https://media.bmfireworks.com/bearboom/images/B060_166.png","https://media.bmfireworks.com/bearboom/videos/B060_166.mp4","588","5inch-series"
"B062","5'138 SHOOT CAKE - AUTUMN  (A,B,C)  (V SHAPE) BB5138 C  -   (3","","https://media.bmfireworks.com/bearboom/images/B062_167.png","https://media.bmfireworks.com/bearboom/videos/B062_167.mp4","588","5inch-series"
"B063","5'138 SHOOT CAKE - WINTER (A,B,C)  (V SHAPE) BB5138 D  -","","https://media.bmfireworks.com/bearboom/images/B063_168.png","https://media.bmfireworks.com/bearboom/videos/B063_168.mp4","588","5inch-series"
"B601","6""414 SHOOT CAKE  I AM THE ONLY ONE (V SHAPE) 6""414 -","","https://media.bmfireworks.com/bearboom/images/B601_169.png","https://media.bmfireworks.com/bearboom/videos/B601_169.mp4","728","6inch-series"
"B701","7""276 SHOOT  MILAN NIGHT (STRAIGHT + V SHAPE) 7""276 -","","https://media.bmfireworks.com/bearboom/images/B701_170.png","https://media.bmfireworks.com/bearboom/videos/B701_170.mp4","688","7inch-series"
"B702","7”414 SHOOT CAKE HENG ONG HUAT 7414","","https://media.bmfireworks.com/bearboom/images/B702_171.png","https://media.bmfireworks.com/bearboom/videos/B702_171.mp4","860","7inch-series"
"B704","7""276 SHOOT  KING OF KINGS (STRAIGHT + V SHAPE) 7""276 -","","https://media.bmfireworks.com/bearboom/images/B704_172.png","","728","7inch-series"
"B801","8""138 SHOOT CAKE - BM SIGNATURE 8""138 -","","https://media.bmfireworks.com/bearboom/images/B801_174.png","https://media.bmfireworks.com/bearboom/videos/B801_174.mp4","428","8inch-series"
"B902","9""138 SHOOT CAKE XIN XIANG SHI CHENG 9""138  -","","https://media.bmfireworks.com/bearboom/images/B902_175.png","https://media.bmfireworks.com/bearboom/videos/B902_175.mp4","488","9inch-above-series"
"B903","9""138 SHOOT CAKE  HUANG JIN MAN WU 9""138  -","","https://media.bmfireworks.com/bearboom/images/B903_176.png","https://media.bmfireworks.com/bearboom/videos/B903_176.mp4","488","9inch-above-series"
"B921","9""138 SHOOT ROUND CAKE HEAVEN OFFICIALS 9138 -","","https://media.bmfireworks.com/bearboom/images/B921_177.png","https://media.bmfireworks.com/bearboom/videos/B921_177.mp4","580","9inch-above-series"
"B911","HorseYear Limited Edition9""138 SHOOT CAKE GET RICH SOON 9138 -","","https://media.bmfireworks.com/bearboom/images/B911_178.png","","620","9inch-above-series"
"B928","9""138 SHOOT CAKE - THE STARRY NIGHT 9138","","https://media.bmfireworks.com/bearboom/images/B928_179.png","","550","9inch-above-series"
"B934","9""138 SHOOT CAKE - SUN MOON STAR 9138","","https://media.bmfireworks.com/bearboom/images/B934_180.png","","530","9inch-above-series"
"B935","9""138 SHOOT CAKE - WINTER MOON 9138","","https://media.bmfireworks.com/bearboom/images/B935_181.png","","530","9inch-above-series"
"B914","9""276 SHOOT CAKE - DOUBLE HAPPNIESS (STRAIGHT + V SHAPE) 9276 -","","https://media.bmfireworks.com/bearboom/images/B914_182.png","https://media.bmfireworks.com/bearboom/videos/B914_182.mp4","1080","9inch-above-series"
"B915","9“276 SHOOT CAKE - GOLDEN WIN (V SHAPE, GOLD) 9276","","https://media.bmfireworks.com/bearboom/images/B915_183.png","https://media.bmfireworks.com/bearboom/videos/B915_183.mp4","1288","9inch-above-series"
"B1003","10""276 SHOOT CAKE - XIONG BA TIAN XIA (STRAIGHT + V SHAPE) 10""276 -","","https://media.bmfireworks.com/bearboom/images/B1003_197.png","https://media.bmfireworks.com/bearboom/videos/B1003_197.mp4","1288","combo-set"
